batch_size,total_time_s,throughput_tok_s,avg_power_w,total_energy_j,energy_per_request_j,energy_per_1k_tokens_j,avg_gpu_util_pct,avg_memory_util_pct,peak_memory_gb,tokens_generated
1,13.430368185043335,19.061279368728936,129.58221641791044,1740.3368767265044,1740.3368767265044,6798.190924712908,45.1865671641791,8.716417910447761,8.37603759765625,256
1,13.756580591201782,18.609275633781294,129.43256521739133,1780.5495145390244,1780.5495145390244,6955.271541168064,44.69565217391305,8.63768115942029,8.37603759765625,256
1,13.457148790359497,19.023346177415725,130.86293333333333,1761.041965009562,1761.041965009562,6879.070175818602,45.12592592592593,8.725925925925926,8.37603759765625,256
1,13.454180240631104,19.027543515946807,130.93613333333334,1761.638337877973,1761.638337877973,6881.399757335832,45.75555555555555,8.822222222222223,8.37603759765625,256
1,13.46712327003479,19.009256458624417,131.26161481481483,1767.7163473349362,1767.7163473349362,6905.141981777095,45.13333333333333,8.718518518518518,8.37603759765625,256
1,13.507758378982544,18.95207130728103,131.35041481481485,1774.2496662976482,1774.2496662976482,6930.662758975188,45.6,8.829629629629629,8.37603759765625,256
1,13.507219314575195,18.95282767221813,131.5220888888889,1776.497699333276,1776.497699333276,6939.444138020609,45.05185185185185,8.725925925925926,8.37603759765625,256
1,13.491472721099854,18.974948494661472,131.78328888888888,1777.9506471412658,1777.9506471412658,6945.119715395569,45.681481481481484,8.837037037037037,8.37603759765625,256
1,13.452960968017578,19.029268025723265,131.6607185185185,1771.2265072507787,1771.2265072507787,6918.853543948354,45.17777777777778,8.748148148148148,8.37603759765625,256
1,13.442956686019897,19.043429654595933,131.79957777777778,1771.7760153023773,1771.7760153023773,6921.000059774911,45.525925925925925,8.762962962962963,8.37603759765625,256
2,13.598673105239868,37.65073224700983,138.1205294117647,1878.2559285932566,939.1279642966283,3668.468610533704,47.544117647058826,8.779411764705882,8.48541259765625,512
2,13.47658658027649,37.99181617319418,137.86134074074076,1857.9002945655914,928.9501472827957,3628.7115128234204,47.43703703703704,8.837037037037037,8.48541259765625,512
2,13.496503353118896,37.93575169835988,138.01891111111112,1862.7726966049302,931.3863483024651,3638.227923056504,47.88148148148148,8.85925925925926,8.48541259765625,512
